Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
1	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	aux îles du Pacifique	1	Opp#1 ANSWER	2005-04-10 01:40:43	2005-04-10 01:40:43		2005-04-10 01:42:34	111	.	111	incorrect	3	0	0	.	Single-KC	1	0.5704	KC302	1	
2	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	l'automne	1	Opp#1 ANSWER	2005-04-10 01:42:34	2005-04-10 01:43:50		2005-04-10 01:46:00	206	.	206	incorrect	3	0	0	.	Single-KC	2	0.5702	KC157	1	
3	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	un gros bébé	1	Opp#1 ANSWER	2005-04-10 01:46:00	2005-04-10 01:47:06	2005-04-10 01:47:06	2005-04-10 01:47:06	66	66	.	correct	0	0	1	.	Single-KC	3	0.5701	KC153	1	
4	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	deux jeunes chats	1	Opp#1 ANSWER	2005-04-10 01:47:06	2005-04-10 01:47:28		2005-04-10 01:47:41	35	.	35	incorrect	2	0	0	.	Single-KC	4	0.5699	KC346	1	
5	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	deux mauvais garçons	1	Opp#1 ANSWER	2005-04-10 01:47:41	2005-04-10 01:48:12		2005-04-10 01:48:28	47	.	47	incorrect	3	0	0	.	Single-KC	5	0.5697	KC77	1	
6	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	un homme grand	1	Opp#1 ANSWER	2005-04-10 01:48:28	2005-04-10 01:48:36	2005-04-10 01:48:36	2005-04-10 01:48:36	8	8	.	correct	0	0	1	.	Single-KC	6	0.5695	KC297	1	
7	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	un joli sourire	1	Opp#1 ANSWER	2005-04-10 01:48:36	2005-04-10 01:49:40	2005-04-10 01:49:40	2005-04-10 01:49:40	64	64	.	correct	0	0	1	.	Single-KC	7	0.5693	KC378	1	
8	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	l'étudiant canadien	1	Opp#1 ANSWER	2005-04-10 01:49:40	2005-04-10 01:50:03	2005-04-10 01:50:03	2005-04-10 01:50:03	23	23	.	correct	0	0	1	.	Single-KC	8	0.5691	KC420	1	
9	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	l'hiver	1	Opp#1 ANSWER	2005-04-10 01:50:03	2005-04-10 01:50:38	2005-04-10 01:50:38	2005-04-10 01:50:38	35	35	.	correct	0	0	1	.	Single-KC	9	0.5689	KC171	1	
10	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	la Guadeloupe	1	Opp#1 ANSWER	2005-04-10 01:50:38	2005-04-10 01:50:48		2005-04-10 01:51:24	46	.	46	incorrect	3	0	0	.	Single-KC	10	0.5687	KC17	1	
11	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	un grand homme	1	Opp#1 ANSWER	2005-04-10 01:51:24	2005-04-10 01:51:36	2005-04-10 01:51:36	2005-04-10 01:51:36	12	12	.	correct	0	0	1	.	Single-KC	11	0.5685	KC248	1	
12	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	une belle femme	1	Opp#1 ANSWER	2005-04-10 01:51:36	2005-04-10 01:51:45	2005-04-10 01:51:45	2005-04-10 01:51:45	9	9	.	correct	0	0	1	.	Single-KC	12	0.5683	KC438	1	
13	All Data	Stu_0bbc1740a5b1cb423d24a702ed28513d	 L2a	le cinq septembre	1	Opp#1 ANSWER	2005-04-10 01:51:45	2005-04-10 01:52:14	2005-04-10 01:52:14	2005-04-10 01:52:14	29	29	.	correct	0	0	1	.	Single-KC	13	0.5681	KC306	1	
